#	CITY NAME	POPULATION
1	Mumbai	12,691,836
2	Delhi	10,927,986
3	Bengaluru	5,104,047
4	Kolkata	4,631,392
5	Chennai	4,328,063
6	Ahmedabad	3,719,710
7	Hyderabad	3,597,816
8	Pune	2,935,744
9	Surat	2,894,504
10	Kanpur	2,823,249
11	Jaipur	2,711,758
12	Navi Mumbai	2,600,000
13	Lucknow	2,472,011
14	Nagpur	2,228,018
15	Indore	1,837,041
16	Patna	1,599,920
17	Bhopal	1,599,914
18	Ludhiana	1,545,368
19	Tirunelveli	1,435,844
20	Agra	1,430,055
21	Vadodara	1,409,476
22	Gorakhpur	1,324,570
23	Nashik	1,289,497
24	Pimpri	1,284,606
25	Kalyan	1,262,255
26	Thane	1,261,517
27	Meerut	1,223,184
28	Nowrangapur	1,220,946
29	Faridabad	1,220,229
30	Ghaziabad	1,199,191
31	Dombivli	1,193,000
32	Rajkot	1,177,362
33	Varanasi	1,164,404
34	Amritsar	1,092,450
35	Allahabad	1,073,438
36	Visakhapatnam	1,063,178
37	Teni	1,034,724
38	Jabalpur	1,030,168
39	Haora	1,027,672
40	Aurangabad	1,016,441
41	Shivaji Nagar	1,000,000
42	Solapur	997,281
43	Srinagar	975,857
44	Chandigarh	960,787
45	Coimbatore	959,823
46	Jodhpur	921,476
47	Madurai	909,908
48	Guwahati	899,094
49	Gwalior	882,458
50	Vijayawada	874,587
51	Mysore	868,313
52	Ranchi	846,454
53	Hubli	840,214
54	Jalandhar	785,178
55	Thiruvananthapuram	784,153
56	Salem	778,396
57	Tiruchirappalli	775,484
58	Kota	763,088
59	Bhubaneshwar	762,243
60	Aligarh	753,207
61	Bareilly	745,435
62	Moradabad	721,139
63	Bhiwandi	707,035
64	Raipur	679,995
65	Gorakhpur	674,246
66	Bhilai	625,138
67	Jamshedpur	616,338
68	Borivli	609,617
69	Cochin	604,696
70	Amravati	603,837
